epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,375.562,1.06299,2.03059,1.80759,1.22979,0.77005,0.62866,0.68341,0.37317,0.76306,0.60181,0.63389,0.29693,0.74851,0.82094,5.78576,0.86976,0.00333235,0.00333235,0.00333235
2,722.155,1.0962,1.88482,1.26095,1.24784,0.74656,0.6319,0.69503,0.42592,0.70734,0.58479,0.61823,0.27081,0.69985,0.86194,2.90567,0.80897,0.00655569,0.00655569,0.00655569
3,1066.34,1.15979,1.91089,1.20944,1.2954,0.71099,0.6375,0.63876,0.35111,0.68208,0.61158,0.57815,0.25969,0.75799,0.79345,2.18357,0.87267,0.00966904,0.00966904,0.00966904
4,1411.07,1.16255,1.93033,1.18841,1.30406,0.77269,0.66457,0.69706,0.45252,0.73699,0.62346,0.62276,0.29119,0.66606,0.78351,1.77823,0.78875,0.009505,0.009505,0.009505
5,1751.62,1.09368,1.87233,1.10422,1.26976,0.79819,0.70319,0.76118,0.52925,0.78635,0.65025,0.69705,0.35142,0.60622,0.75778,1.13792,0.71592,0.00934,0.00934,0.00934
6,2093.37,1.05379,1.86145,1.05472,1.24499,0.81032,0.70339,0.77589,0.55771,0.78801,0.64965,0.70554,0.35578,0.57699,0.7458,1.03335,0.7079,0.009175,0.009175,0.009175
7,2440.96,1.01344,1.82847,1.00011,1.22299,0.79623,0.72089,0.78091,0.5667,0.773,0.67336,0.71591,0.36215,0.55013,0.74126,0.98576,0.66898,0.00901,0.00901,0.00901
8,2782.78,0.99231,1.79518,0.9811,1.21151,0.83176,0.69669,0.78559,0.58431,0.80759,0.65025,0.72163,0.37673,0.54953,0.7368,0.92235,0.66973,0.008845,0.008845,0.008845
9,3166,0.97623,1.78324,0.96717,1.20387,0.82498,0.70972,0.79309,0.59849,0.80377,0.66985,0.73137,0.3728,0.5131,0.72489,0.79768,0.64135,0.00868,0.00868,0.00868
10,3538.63,0.96972,1.76683,0.95663,1.20108,0.83892,0.71873,0.81454,0.6164,0.80201,0.67574,0.74278,0.38886,0.51125,0.71424,0.77848,0.64254,0.008515,0.008515,0.008515
11,3891.36,0.94817,1.7521,0.93393,1.19056,0.83393,0.71596,0.80715,0.61838,0.80706,0.67401,0.74409,0.38827,0.49053,0.71418,0.74,0.62698,0.00835,0.00835,0.00835
