epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.473,1.17663,2.21005,2.11694,1.24761,0.59804,0.59789,0.55722,0.33984,0.56317,0.51758,0.45088,0.18329,0.77024,0.70755,46.0419,0.88458,0.00332851,0.00332851,0.00332851
2,410.756,1.17152,1.92643,1.44106,1.24331,0.46942,0.13276,0.13538,0.05886,0.18928,0.03869,0.02253,0.00692,1.51036,3.17638,52.4134,1.63203,0.00655192,0.00655192,0.00655192
3,606.503,1.29801,2.00535,1.39014,1.32092,0.57609,0.58708,0.54274,0.28476,0.5002,0.50293,0.41015,0.15909,0.90576,0.7494,14.9401,0.9666,0.00966534,0.00966534,0.00966534
4,794.777,1.28438,1.98421,1.34106,1.32764,0.71442,0.62427,0.65607,0.40334,0.63508,0.53986,0.51117,0.19289,0.79406,0.79608,8.81223,0.88263,0.009505,0.009505,0.009505
5,981.02,1.20996,1.93922,1.23867,1.2863,0.72713,0.68417,0.69637,0.44842,0.64606,0.57679,0.5482,0.22875,0.71738,0.73214,7.6142,0.82238,0.00934,0.00934,0.00934
6,1166.19,1.1596,1.88696,1.1706,1.25961,0.70169,0.66471,0.70022,0.4587,0.64677,0.57796,0.56921,0.23734,0.72801,0.68428,11.5752,0.83521,0.009175,0.009175,0.009175
7,1357.61,1.11948,1.86627,1.12863,1.23932,0.74913,0.69812,0.74541,0.49677,0.67206,0.60023,0.58311,0.25122,0.69074,0.7473,3.27482,0.78843,0.00901,0.00901,0.00901
8,1551.99,1.08997,1.8323,1.08865,1.22782,0.74891,0.69407,0.71918,0.49284,0.64277,0.58537,0.5499,0.22322,0.6825,0.84332,4.43414,0.76964,0.008845,0.008845,0.008845
9,1746.39,1.07929,1.83976,1.0798,1.217,0.77471,0.69988,0.75137,0.51936,0.69529,0.61899,0.61158,0.27364,0.62945,0.68361,13.3702,0.73916,0.00868,0.00868,0.00868
10,1941.23,1.04659,1.80717,1.0462,1.20175,0.79319,0.71265,0.76866,0.54871,0.70466,0.63354,0.62679,0.27271,0.60212,0.64961,5.86581,0.72897,0.008515,0.008515,0.008515
