epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.016,1.05475,2.08412,1.84146,1.24179,0.69845,0.65539,0.665,0.38586,0.67204,0.61329,0.58756,0.27656,0.64922,0.74434,6.4109,0.75117,0.00333227,0.00333227,0.00333227
2,671.851,1.09039,1.92643,1.27253,1.2639,0.74657,0.65563,0.71169,0.45428,0.72712,0.62619,0.66603,0.32782,0.63074,0.75655,1.07828,0.74148,0.00653362,0.00653362,0.00653362
3,993.456,1.1489,1.96822,1.21555,1.31069,0.76864,0.62838,0.70043,0.41869,0.74575,0.58433,0.62787,0.28128,0.6747,0.79303,1.37029,0.80146,0.00960298,0.00960298,0.00960298
4,1312.45,1.14933,1.97469,1.17925,1.31113,0.77361,0.64931,0.71231,0.4602,0.77256,0.6142,0.6698,0.34059,0.62316,0.73411,1.44597,0.75212,0.009406,0.009406,0.009406
5,1629.1,1.0878,1.90936,1.10684,1.28134,0.80419,0.68967,0.75794,0.51763,0.78178,0.65101,0.70409,0.36443,0.60221,0.73172,0.75709,0.72453,0.009208,0.009208,0.009208
6,1948.49,1.0415,1.89068,1.05565,1.25866,0.80595,0.69338,0.75893,0.52851,0.78603,0.65466,0.70285,0.36228,0.55568,0.73057,1.12232,0.68647,0.00901,0.00901,0.00901
7,2267.45,1.00803,1.85513,1.00914,1.23701,0.83236,0.69479,0.78663,0.56206,0.79591,0.66437,0.72822,0.38401,0.53608,0.69806,1.42742,0.65631,0.008812,0.008812,0.008812
8,2584.44,0.99422,1.85184,0.99348,1.22995,0.82755,0.70423,0.79295,0.58145,0.7948,0.674,0.73955,0.3961,0.51542,0.68708,0.88331,0.64382,0.008614,0.008614,0.008614
9,2902.84,0.97056,1.834,0.96155,1.21511,0.82654,0.7065,0.79855,0.60116,0.81638,0.66464,0.74615,0.40495,0.48475,0.685,0.89384,0.62371,0.008416,0.008416,0.008416
10,3221.33,0.9526,1.8149,0.95163,1.20803,0.8453,0.69548,0.79894,0.59819,0.81924,0.6585,0.74468,0.40217,0.49443,0.68533,0.84409,0.62859,0.008218,0.008218,0.008218
11,3540.68,0.9431,1.79379,0.93207,1.20203,0.84729,0.69506,0.80478,0.60697,0.81648,0.67364,0.7543,0.41014,0.48366,0.67604,0.65795,0.61586,0.00802,0.00802,0.00802
12,3861.44,0.93319,1.78186,0.92173,1.19503,0.84231,0.70459,0.81244,0.61823,0.81731,0.66849,0.75696,0.41863,0.4724,0.66904,0.80804,0.60756,0.007822,0.007822,0.007822
13,4180.58,0.92488,1.78237,0.91076,1.19405,0.8482,0.71356,0.81099,0.6247,0.80723,0.68586,0.75496,0.41267,0.45474,0.66399,0.64931,0.5955,0.007624,0.007624,0.007624
14,4502.93,0.91226,1.76224,0.89898,1.18447,0.82149,0.72123,0.81424,0.62427,0.81654,0.66902,0.75926,0.41768,0.46313,0.66408,0.64026,0.60262,0.007426,0.007426,0.007426
15,4829.1,0.90586,1.76768,0.88155,1.18308,0.85788,0.71283,0.82056,0.6423,0.82858,0.67681,0.76303,0.42259,0.44412,0.65928,0.52198,0.5836,0.007228,0.007228,0.007228
16,5157.82,0.89592,1.74456,0.8769,1.17549,0.85684,0.71229,0.8268,0.64814,0.82384,0.67491,0.76683,0.42581,0.43671,0.65413,0.55563,0.57665,0.00703,0.00703,0.00703
17,5476.17,0.8888,1.73859,0.87017,1.17199,0.85565,0.72353,0.83136,0.65651,0.82316,0.68508,0.77212,0.43168,0.43645,0.6527,0.52767,0.57348,0.006832,0.006832,0.006832
18,5820.15,0.88958,1.74643,0.86203,1.16968,0.85822,0.71303,0.82808,0.65803,0.82774,0.68192,0.77185,0.43286,0.42798,0.64978,0.52791,0.57003,0.006634,0.006634,0.006634
19,6222.13,0.88304,1.73565,0.85825,1.16656,0.8543,0.7206,0.83156,0.66418,0.83543,0.67681,0.77051,0.43175,0.42101,0.6539,0.47912,0.56343,0.006436,0.006436,0.006436
20,6614.37,0.87073,1.71295,0.84398,1.15996,0.86413,0.72285,0.83271,0.66518,0.82863,0.69545,0.77696,0.43463,0.4189,0.64574,0.48118,0.5651,0.006238,0.006238,0.006238
21,7002.45,0.86277,1.72447,0.84735,1.15887,0.85827,0.72499,0.83539,0.67112,0.82961,0.69457,0.77701,0.4355,0.41617,0.6464,0.48201,0.5618,0.00604,0.00604,0.00604
22,7398.09,0.86103,1.70917,0.83819,1.15625,0.85825,0.72134,0.83633,0.67281,0.83268,0.68672,0.77752,0.43593,0.41076,0.6462,0.47403,0.55879,0.005842,0.005842,0.005842
23,7765.98,0.85907,1.70501,0.8425,1.15357,0.85334,0.7267,0.83667,0.6734,0.82629,0.69341,0.77831,0.43666,0.41151,0.64137,0.47373,0.55977,0.005644,0.005644,0.005644
24,8097.17,0.85541,1.70101,0.82397,1.14942,0.86558,0.71621,0.83558,0.67167,0.83416,0.69041,0.77964,0.43507,0.41202,0.63934,0.47417,0.55893,0.005446,0.005446,0.005446
25,8433.06,0.85044,1.68961,0.82412,1.14637,0.86007,0.71915,0.83592,0.67522,0.82607,0.68971,0.77802,0.43869,0.40581,0.63871,0.4824,0.55047,0.005248,0.005248,0.005248
26,8780.9,0.84482,1.68441,0.81198,1.14587,0.85904,0.7211,0.83732,0.67689,0.83479,0.68825,0.77916,0.43811,0.40311,0.63836,0.47781,0.55012,0.00505,0.00505,0.00505
27,9118.39,0.83823,1.68287,0.80864,1.13974,0.85565,0.73132,0.84012,0.68184,0.82551,0.70005,0.78089,0.44064,0.39869,0.63637,0.50339,0.54465,0.004852,0.004852,0.004852
28,9452.67,0.83765,1.67408,0.80643,1.14311,0.85419,0.72854,0.84089,0.68182,0.82291,0.70066,0.783,0.44048,0.39634,0.63506,0.47881,0.54377,0.004654,0.004654,0.004654
29,9801.47,0.83445,1.6765,0.79695,1.13959,0.85555,0.734,0.84215,0.68404,0.81879,0.70819,0.7822,0.44261,0.39343,0.63447,0.47315,0.54196,0.004456,0.004456,0.004456
30,10148.3,0.82889,1.66703,0.79413,1.13547,0.85596,0.73469,0.8425,0.68607,0.82698,0.70285,0.78355,0.44279,0.39141,0.63302,0.46935,0.5408,0.004258,0.004258,0.004258
31,10509.8,0.81814,1.65746,0.78725,1.13094,0.85778,0.73619,0.84371,0.68758,0.8274,0.70479,0.78492,0.44311,0.38789,0.63169,0.45872,0.53776,0.00406,0.00406,0.00406
32,10855.7,0.80905,1.65663,0.77677,1.12415,0.85571,0.73546,0.84419,0.68815,0.82279,0.70395,0.78385,0.44337,0.38605,0.63144,0.45566,0.536,0.003862,0.003862,0.003862
33,11210.1,0.81438,1.66462,0.78209,1.12718,0.85742,0.73176,0.84525,0.68991,0.83246,0.69649,0.78454,0.44356,0.38522,0.63155,0.46277,0.53418,0.003664,0.003664,0.003664
34,11559.1,0.80523,1.63437,0.77636,1.12242,0.86192,0.72962,0.84611,0.68992,0.83178,0.69652,0.78506,0.44314,0.38378,0.63138,0.46407,0.53274,0.003466,0.003466,0.003466
35,11880.5,0.8019,1.63657,0.76085,1.1203,0.86615,0.72743,0.8457,0.68917,0.83565,0.69506,0.78584,0.44469,0.38281,0.63089,0.47565,0.53179,0.003268,0.003268,0.003268
36,12222.3,0.7954,1.62479,0.75163,1.11476,0.86538,0.72747,0.84601,0.69038,0.83955,0.69311,0.78586,0.44353,0.38184,0.63069,0.47905,0.53086,0.00307,0.00307,0.00307
37,12564.3,0.79939,1.62576,0.75834,1.11612,0.86339,0.72791,0.84657,0.69222,0.83957,0.6919,0.7864,0.44512,0.3807,0.63056,0.46792,0.52965,0.002872,0.002872,0.002872
38,12918.2,0.7907,1.61923,0.75419,1.10962,0.86411,0.72767,0.84633,0.69244,0.84509,0.68898,0.7867,0.44507,0.38034,0.63046,0.46072,0.52897,0.002674,0.002674,0.002674
39,13252.7,0.78372,1.6068,0.74675,1.10864,0.86375,0.72818,0.84683,0.6933,0.84531,0.69019,0.78773,0.44558,0.37913,0.62973,0.45659,0.52772,0.002476,0.002476,0.002476
40,13580.5,0.78347,1.60952,0.74343,1.1101,0.86279,0.73035,0.84652,0.69332,0.8448,0.69018,0.78756,0.44584,0.37837,0.62906,0.46006,0.52713,0.002278,0.002278,0.002278
41,13941.4,0.77095,1.31595,0.80328,1.22367,0.862,0.7301,0.84673,0.69449,0.84459,0.69043,0.78838,0.44612,0.37703,0.62872,0.45252,0.52661,0.00208,0.00208,0.00208
42,14271.5,0.75019,1.30622,0.77441,1.21083,0.85839,0.7332,0.84748,0.69586,0.84292,0.6936,0.78966,0.447,0.37511,0.62832,0.44337,0.52509,0.001882,0.001882,0.001882
43,14575.5,0.73436,1.29125,0.76562,1.19692,0.85152,0.73974,0.84766,0.69703,0.8429,0.69337,0.79066,0.44757,0.37335,0.62758,0.4361,0.52336,0.001684,0.001684,0.001684
44,14877.5,0.73389,1.28496,0.75528,1.1999,0.85156,0.73935,0.84759,0.6977,0.83928,0.69676,0.79058,0.44788,0.3724,0.62688,0.42971,0.52258,0.001486,0.001486,0.001486
45,15182.2,0.73062,1.28765,0.75083,1.19681,0.85304,0.7396,0.84804,0.69956,0.83867,0.69895,0.79177,0.44831,0.37125,0.62674,0.42513,0.52147,0.001288,0.001288,0.001288
46,15490.8,0.72266,1.28067,0.73401,1.18838,0.85779,0.73695,0.84856,0.70087,0.83998,0.69879,0.7919,0.44885,0.37002,0.62617,0.42173,0.52012,0.00109,0.00109,0.00109
47,15796.3,0.70296,1.27474,0.71524,1.18061,0.85733,0.73789,0.84869,0.70083,0.83778,0.69879,0.79178,0.44867,0.36916,0.62606,0.41942,0.5194,0.000892,0.000892,0.000892
48,16107.9,0.70016,1.27271,0.70973,1.17697,0.85702,0.73838,0.84924,0.70192,0.83916,0.70041,0.79348,0.4496,0.3684,0.62545,0.4169,0.51846,0.000694,0.000694,0.000694
49,16411.9,0.6916,1.26181,0.70383,1.16859,0.85812,0.73743,0.8495,0.70221,0.8392,0.70109,0.7937,0.44991,0.36768,0.62522,0.41487,0.51771,0.000496,0.000496,0.000496
50,16741.7,0.68529,1.24905,0.69684,1.16743,0.85278,0.74081,0.84974,0.70282,0.83865,0.70204,0.79424,0.45016,0.36718,0.625,0.41345,0.51705,0.000298,0.000298,0.000298
