epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3087.56,0.87856,1.72296,0.84283,1.12963,0.87323,0.7597,0.863,0.67837,0.80998,0.67571,0.72635,0.40146,0.80595,0.9846,0.8293,1.03077,0.0008516,0.0008516,0.0008516
31,3189.19,0.88,1.71381,0.83104,1.12105,0.85921,0.76154,0.86274,0.6759,0.7766,0.6973,0.73732,0.40112,0.80465,0.99235,0.85061,1.0239,0.000812,0.000812,0.000812
32,3290.68,0.88572,1.73347,0.84076,1.12669,0.882,0.75631,0.859,0.66892,0.80836,0.67285,0.71641,0.38279,0.80921,0.98058,0.84192,1.03308,0.0007724,0.0007724,0.0007724
33,3392.09,0.86545,1.71342,0.82465,1.11741,0.85547,0.7715,0.85759,0.67629,0.78489,0.6855,0.73012,0.39372,0.7919,0.96938,0.82185,1.02668,0.0007328,0.0007328,0.0007328
34,3493.63,0.86789,1.69396,0.81643,1.11766,0.85077,0.78162,0.86239,0.68083,0.798,0.69949,0.73744,0.40758,0.7813,0.9649,0.8098,1.01024,0.0006932,0.0006932,0.0006932
35,3595.22,0.86493,1.68251,0.82744,1.12114,0.83897,0.79595,0.86997,0.68788,0.76004,0.70911,0.73261,0.40589,0.78532,0.95581,0.8205,1.01195,0.0006536,0.0006536,0.0006536
36,3696.32,0.85795,1.69036,0.8161,1.11445,0.86321,0.79342,0.87586,0.68744,0.77607,0.71332,0.74105,0.39956,0.77093,0.95445,0.8023,0.98925,0.000614,0.000614,0.000614
37,3797.28,0.85581,1.68639,0.80892,1.11109,0.87325,0.77319,0.86894,0.68475,0.7978,0.7032,0.73769,0.3947,0.78169,0.96331,0.79875,1.01483,0.0005744,0.0005744,0.0005744
38,3898.56,0.84809,1.67687,0.79945,1.10738,0.86173,0.77909,0.86964,0.69123,0.79345,0.69899,0.74231,0.40122,0.75993,0.96211,0.79998,0.99296,0.0005348,0.0005348,0.0005348
39,3999.5,0.83336,1.65488,0.78968,1.10103,0.87294,0.77045,0.87049,0.69233,0.79878,0.70067,0.74515,0.40524,0.76729,0.95255,0.79909,0.99523,0.0004952,0.0004952,0.0004952
40,4102.33,0.83794,1.67079,0.79322,1.09944,0.87963,0.77634,0.87404,0.68788,0.80901,0.70718,0.74547,0.40092,0.7695,0.95595,0.79182,1.00412,0.0004556,0.0004556,0.0004556
41,4232.55,0.82477,1.35873,0.83804,1.21025,0.87544,0.77632,0.87571,0.70408,0.78293,0.71754,0.75142,0.41755,0.73306,0.95502,0.75813,0.96397,0.000416,0.000416,0.000416
42,4339.78,0.79575,1.32707,0.80161,1.1935,0.8658,0.78836,0.88044,0.71433,0.79031,0.70826,0.75016,0.41712,0.72726,0.96002,0.7428,0.96718,0.0003764,0.0003764,0.0003764
43,4450.13,0.79012,1.33039,0.79612,1.1928,0.8597,0.79511,0.88163,0.71337,0.77626,0.71501,0.74571,0.41499,0.7195,0.963,0.74027,0.95683,0.0003368,0.0003368,0.0003368
44,4569.65,0.781,1.32043,0.77927,1.18345,0.88523,0.78042,0.88693,0.72057,0.7913,0.72252,0.76427,0.42353,0.70909,0.94941,0.73046,0.9467,0.0002972,0.0002972,0.0002972
45,4685.24,0.76941,1.31131,0.76365,1.17304,0.85853,0.80017,0.88528,0.72097,0.79739,0.72007,0.7667,0.42623,0.70427,0.95379,0.72181,0.94306,0.0002576,0.0002576,0.0002576
46,4801.44,0.7517,1.30832,0.75093,1.16651,0.85776,0.7932,0.8872,0.72227,0.79043,0.72191,0.76509,0.4181,0.70283,0.95028,0.71497,0.93887,0.000218,0.000218,0.000218
47,4916.45,0.753,1.30099,0.73632,1.16059,0.873,0.78244,0.87973,0.72179,0.80105,0.70911,0.76228,0.42772,0.70397,0.96466,0.7149,0.93505,0.0001784,0.0001784,0.0001784
48,5026.29,0.73631,1.28639,0.72799,1.15464,0.85032,0.79991,0.88012,0.72435,0.78046,0.73187,0.76761,0.42345,0.70316,0.95699,0.71135,0.9414,0.0001388,0.0001388,0.0001388
49,5137.25,0.73288,1.28783,0.7252,1.15175,0.8287,0.80354,0.88206,0.72178,0.79765,0.70658,0.7637,0.42483,0.69965,0.961,0.70901,0.93812,9.92e-05,9.92e-05,9.92e-05
50,5248.02,0.72036,1.27377,0.70663,1.13817,0.85507,0.78602,0.88437,0.72894,0.79458,0.71669,0.77089,0.42901,0.69347,0.95838,0.70068,0.93206,5.96e-05,5.96e-05,5.96e-05
