epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.362,1.17015,2.08969,1.98958,1.23379,0.64385,0.66764,0.65843,0.39623,0.55747,0.55866,0.48412,0.18714,0.74706,0.80654,27.2783,0.80669,0.00332939,0.00332939,0.00332939
2,534.718,1.15592,1.84731,1.36546,1.21717,0.65729,0.61805,0.63669,0.35554,0.62051,0.54169,0.52171,0.20421,0.88482,0.7954,11.4944,0.93427,0.00655279,0.00655279,0.00655279
3,780.436,1.25781,1.92146,1.32251,1.28249,0.59259,0.59847,0.57692,0.34034,0.53436,0.5289,0.46018,0.17162,0.83534,0.78156,28.2455,0.88666,0.00966619,0.00966619,0.00966619
4,1034.63,1.23465,1.9073,1.25661,1.28439,0.72306,0.6624,0.68231,0.42084,0.63652,0.58312,0.54008,0.2204,0.79449,0.74809,7.66963,0.87111,0.009505,0.009505,0.009505
5,1303.75,1.16497,1.83898,1.17759,1.25121,0.70951,0.68216,0.67923,0.44867,0.62987,0.59847,0.53296,0.21084,0.71961,0.71814,18.5515,0.8058,0.00934,0.00934,0.00934
6,1567.02,1.11459,1.81029,1.10973,1.2258,0.78325,0.70077,0.74644,0.493,0.69426,0.62258,0.61009,0.26129,0.68854,0.70296,5.15272,0.77745,0.009175,0.009175,0.009175
7,1827.23,1.08369,1.77346,1.07144,1.21285,0.75192,0.70486,0.7591,0.5282,0.69729,0.60563,0.6061,0.25268,0.64393,0.6846,7.20141,0.73867,0.00901,0.00901,0.00901
8,2083.17,1.06081,1.7788,1.03345,1.19831,0.7699,0.72566,0.76184,0.53064,0.70346,0.63478,0.63201,0.27756,0.6291,0.69053,5.84414,0.73156,0.008845,0.008845,0.008845
9,2340.94,1.03698,1.75064,1.00836,1.1849,0.81084,0.70844,0.77687,0.55749,0.73205,0.63018,0.63104,0.27795,0.60575,0.67833,7.47117,0.71183,0.00868,0.00868,0.00868
10,2596.88,1.01817,1.74948,0.99137,1.17312,0.81907,0.72478,0.79379,0.57198,0.73,0.64348,0.65309,0.294,0.5906,0.65271,7.16969,0.70012,0.008515,0.008515,0.008515
11,2848.09,1.00574,1.7209,0.97563,1.17123,0.81885,0.72481,0.79972,0.57951,0.75527,0.64604,0.66371,0.28299,0.59842,0.66043,5.66887,0.70964,0.00835,0.00835,0.00835
12,3110.9,0.99095,1.71476,0.95947,1.15866,0.83389,0.7422,0.8236,0.61034,0.76226,0.65272,0.68379,0.3046,0.56174,0.64484,4.90911,0.68134,0.008185,0.008185,0.008185
13,3375.21,0.9848,1.69074,0.94937,1.15937,0.82464,0.7243,0.81232,0.60692,0.7555,0.63939,0.66076,0.30089,0.55625,0.63894,3.65435,0.67786,0.00802,0.00802,0.00802
14,3635.86,0.96727,1.68633,0.92947,1.14794,0.82832,0.73811,0.81186,0.60771,0.75006,0.66292,0.67014,0.30057,0.55259,0.63389,4.33495,0.67525,0.007855,0.007855,0.007855
15,3896.59,0.94804,1.66121,0.90663,1.13905,0.82907,0.75754,0.82179,0.62414,0.73048,0.66684,0.66834,0.30406,0.53927,0.66038,4.57041,0.66448,0.00769,0.00769,0.00769
16,4152.44,0.95164,1.66001,0.90489,1.14109,0.83265,0.74476,0.82154,0.62344,0.76542,0.66087,0.68529,0.30033,0.51984,0.62629,3.42738,0.64531,0.007525,0.007525,0.007525
17,4406.12,0.9435,1.66323,0.90714,1.13488,0.83619,0.76164,0.82363,0.62714,0.75533,0.68798,0.6866,0.30559,0.52092,0.63448,4.58405,0.6574,0.00736,0.00736,0.00736
18,4657.24,0.94164,1.65879,0.89967,1.13482,0.85847,0.75448,0.83707,0.64509,0.78048,0.68593,0.71282,0.32106,0.53535,0.62176,3.6267,0.65898,0.007195,0.007195,0.007195
19,4912.66,0.9351,1.651,0.89225,1.12925,0.85728,0.74783,0.83699,0.64377,0.77929,0.6798,0.7032,0.31232,0.51378,0.62309,3.87887,0.65323,0.00703,0.00703,0.00703
20,5167.32,0.9246,1.63281,0.8733,1.12465,0.84027,0.75499,0.83819,0.64566,0.76,0.68286,0.71192,0.33039,0.517,0.61614,4.18759,0.64872,0.006865,0.006865,0.006865
21,5423.05,0.918,1.62421,0.86725,1.11972,0.84336,0.76838,0.8458,0.66164,0.76665,0.68338,0.70674,0.33133,0.52469,0.6098,2.75674,0.65641,0.0067,0.0067,0.0067
22,5701.96,0.9102,1.61286,0.85727,1.11639,0.82401,0.78107,0.84084,0.65693,0.75476,0.70793,0.72238,0.32274,0.51118,0.60702,3.16682,0.64476,0.006535,0.006535,0.006535
23,5967.22,0.9087,1.61761,0.85056,1.11333,0.85603,0.76317,0.84473,0.66792,0.78562,0.69054,0.72433,0.33564,0.48644,0.59782,3.93922,0.63017,0.00637,0.00637,0.00637
24,6233.51,0.90136,1.60012,0.84678,1.10982,0.86352,0.76375,0.85313,0.67163,0.77576,0.70073,0.72761,0.33344,0.49807,0.60425,3.73333,0.63703,0.006205,0.006205,0.006205
25,6508.3,0.89377,1.59119,0.83269,1.10897,0.84844,0.77852,0.85037,0.66986,0.76777,0.70856,0.71862,0.32274,0.48722,0.60362,3.64545,0.624,0.00604,0.00604,0.00604
26,6769.78,0.88804,1.58466,0.83271,1.10345,0.85706,0.7698,0.85739,0.67673,0.78618,0.69961,0.73703,0.33919,0.47613,0.59155,3.39581,0.62234,0.005875,0.005875,0.005875
27,7040.84,0.87787,1.57884,0.82337,1.09947,0.86919,0.76675,0.85878,0.68157,0.78292,0.70332,0.7251,0.33518,0.47251,0.59163,3.47836,0.61862,0.00571,0.00571,0.00571
28,7324.96,0.88131,1.5843,0.81866,1.09698,0.86988,0.7734,0.86065,0.68756,0.79534,0.70588,0.73425,0.33584,0.4721,0.59267,3.7576,0.6216,0.005545,0.005545,0.005545
29,7581.95,0.8774,1.57381,0.80964,1.09838,0.85963,0.78721,0.86653,0.69747,0.78824,0.71816,0.7458,0.34404,0.45245,0.58859,3.35151,0.60506,0.00538,0.00538,0.00538
30,7830.57,0.87378,1.57693,0.80426,1.09624,0.84916,0.79079,0.8636,0.69283,0.78426,0.72276,0.74436,0.34294,0.45943,0.58813,3.25191,0.61025,0.005215,0.005215,0.005215
31,8077.63,0.87042,1.56339,0.80425,1.09348,0.84895,0.78768,0.86285,0.69885,0.79548,0.71024,0.74346,0.34598,0.44987,0.58676,3.36597,0.60345,0.00505,0.00505,0.00505
32,8325.24,0.86156,1.55704,0.79307,1.08803,0.86687,0.78159,0.86626,0.70195,0.79887,0.71107,0.73942,0.34278,0.45909,0.58206,3.42353,0.60392,0.004885,0.004885,0.004885
33,8574.79,0.85895,1.55701,0.78788,1.08737,0.87572,0.79028,0.87086,0.70391,0.79314,0.71781,0.74085,0.34692,0.45339,0.57958,2.95542,0.60342,0.00472,0.00472,0.00472
34,8825.05,0.85011,1.54434,0.78514,1.08329,0.87574,0.78005,0.86845,0.70108,0.80766,0.71742,0.74727,0.34624,0.44652,0.58083,3.38383,0.59852,0.004555,0.004555,0.004555
35,9073.98,0.84626,1.53787,0.77419,1.08032,0.86847,0.77801,0.87187,0.70834,0.79824,0.71509,0.75244,0.34575,0.44516,0.5784,2.78943,0.59409,0.00439,0.00439,0.00439
36,9321.95,0.84459,1.54272,0.77429,1.0786,0.85676,0.79241,0.87387,0.70906,0.80725,0.71763,0.75874,0.34716,0.43911,0.57761,3.01457,0.58943,0.004225,0.004225,0.004225
37,9570.44,0.83736,1.52173,0.75478,1.07461,0.86592,0.79591,0.87556,0.71596,0.80956,0.72843,0.76268,0.35083,0.42824,0.57641,3.18387,0.58518,0.00406,0.00406,0.00406
38,9818.55,0.83336,1.52724,0.7567,1.07295,0.86253,0.80409,0.8784,0.7186,0.79553,0.73833,0.76329,0.35614,0.42626,0.57458,3.36509,0.58224,0.003895,0.003895,0.003895
39,10065.8,0.82778,1.52406,0.74767,1.06982,0.84658,0.8157,0.87903,0.71534,0.79263,0.73709,0.76225,0.35031,0.42585,0.57489,3.08659,0.58372,0.00373,0.00373,0.00373
40,10312.5,0.82361,1.51804,0.74459,1.07144,0.84867,0.80607,0.87691,0.71427,0.78655,0.74578,0.76556,0.35124,0.42365,0.57335,3.43227,0.58066,0.003565,0.003565,0.003565
41,10560.7,0.8229,1.52164,0.73914,1.06622,0.84928,0.80989,0.87782,0.71797,0.79468,0.73913,0.7665,0.35662,0.41983,0.57251,3.37154,0.57719,0.0034,0.0034,0.0034
