epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2479,1.46663,2.95117,2.54805,1.55845,0.00396,0.92647,0.15017,0.06213,0.00624,0.70588,0.11277,0.02871,1.78848,1.38181,3.37677,2.20717,0.00062,0.00062,0.00062
2,14.4264,1.40083,1.66779,1.99319,1.43519,0.15001,0.15835,0.09509,0.03032,0.11147,0.11765,0.05082,0.01238,2.28809,1.54242,3.50377,2.79158,0.00123505,0.00123505,0.00123505
3,18.7646,1.50814,1.54305,2.19152,1.54598,0.15057,0.23529,0.0915,0.02003,0.1009,0.11765,0.03305,0.00512,2.62178,1.85129,3.70392,3.00025,0.00182476,0.00182476,0.00182476
4,22.9803,1.46569,1.42163,2.01425,1.53644,0.36292,0.23529,0.20426,0.06865,0.20254,0.11765,0.08035,0.02426,2.64861,1.62431,4.47658,3.53149,0.0018812,0.0018812,0.0018812
5,27.0164,1.47067,1.44199,1.96502,1.54701,0.21996,0.51471,0.17686,0.05596,0.11435,0.23529,0.05789,0.01193,2.05762,1.67811,4.29763,2.69818,0.0018416,0.0018416,0.0018416
6,31.0593,1.47371,1.54018,1.85954,1.53173,0.18948,0.39706,0.14011,0.03913,0.08384,0.32353,0.04751,0.00939,2.10023,1.23186,3.61177,2.53818,0.001802,0.001802,0.001802
7,34.9766,1.40105,1.4521,1.78285,1.47755,0.08905,0.57353,0.08208,0.02964,0.08737,0.32353,0.04948,0.01001,2.13049,1.23229,4.62808,2.48545,0.0017624,0.0017624,0.0017624
8,39.0851,1.40484,1.44151,1.68103,1.45982,0.38817,0.33824,0.27778,0.08596,0.1547,0.33824,0.08854,0.0169,1.98082,1.28061,2.52977,2.30059,0.0017228,0.0017228,0.0017228
9,43.2649,1.36271,1.42305,1.61859,1.44163,0.38085,0.32353,0.29411,0.07909,0.13683,0.38235,0.10139,0.02089,1.89336,1.16794,2.35112,2.07564,0.0016832,0.0016832,0.0016832
10,47.1332,1.32405,1.38487,1.5472,1.39435,0.31858,0.48529,0.25201,0.08405,0.16969,0.36765,0.09865,0.01992,1.81809,1.53807,2.40389,2.15758,0.0016436,0.0016436,0.0016436
11,51.0716,1.31574,1.37774,1.43863,1.39594,0.40936,0.54412,0.35702,0.12332,0.21675,0.33824,0.13477,0.03449,1.84272,1.28144,2.41647,2.21629,0.001604,0.001604,0.001604
12,55.2277,1.34835,1.493,1.53148,1.41287,0.28519,0.44118,0.24128,0.07459,0.12643,0.33824,0.0818,0.01957,1.75381,1.42543,2.57962,2.0677,0.0015644,0.0015644,0.0015644
13,59.3064,1.27411,1.39245,1.42902,1.37943,0.2799,0.48529,0.24979,0.08575,0.1679,0.32353,0.12377,0.02634,1.85159,1.19049,2.3043,2.06058,0.0015248,0.0015248,0.0015248
14,63.8274,1.23246,1.34536,1.36549,1.35916,0.39882,0.42928,0.3163,0.11262,0.4368,0.36765,0.26793,0.06093,1.89323,1.19525,2.21535,2.06855,0.0014852,0.0014852,0.0014852
15,67.9217,1.24572,1.38183,1.41906,1.36513,0.36319,0.55882,0.31443,0.09941,0.21201,0.33824,0.13251,0.03392,1.946,1.26209,2.29006,2.17297,0.0014456,0.0014456,0.0014456
16,72.3928,1.25273,1.39877,1.37149,1.3552,0.39667,0.52941,0.40646,0.13802,0.25683,0.46757,0.21152,0.04469,1.86047,1.19434,2.17406,1.97259,0.001406,0.001406,0.001406
17,76.3264,1.1902,1.36064,1.29941,1.33217,0.44933,0.54412,0.43231,0.17749,0.35593,0.45588,0.30508,0.06922,1.79071,1.36119,1.99232,1.85857,0.0013664,0.0013664,0.0013664
18,80.4164,1.19663,1.3933,1.21493,1.3273,0.34802,0.55882,0.31965,0.1294,0.2699,0.44118,0.18639,0.0423,1.68604,1.32453,2.18249,1.86913,0.0013268,0.0013268,0.0013268
19,86.508,1.14166,1.34739,1.18902,1.28953,0.46782,0.58824,0.40053,0.16131,0.31946,0.39706,0.20558,0.04871,1.59831,1.16912,2.01112,1.79714,0.0012872,0.0012872,0.0012872
20,90.3272,1.13076,1.33905,1.2061,1.30438,0.43438,0.52941,0.42722,0.17411,0.2321,0.41176,0.18648,0.05351,1.70663,1.28872,1.91991,1.86584,0.0012476,0.0012476,0.0012476
21,94.5939,1.13063,1.2971,1.23254,1.28642,0.49699,0.5,0.38797,0.16334,0.36429,0.41176,0.24384,0.05648,1.63548,1.10412,1.88612,1.81703,0.001208,0.001208,0.001208
22,98.9899,1.09903,1.31677,1.1705,1.26613,0.53193,0.55156,0.46536,0.18872,0.31406,0.39706,0.24065,0.05555,1.60466,1.17608,1.90521,1.80215,0.0011684,0.0011684,0.0011684
23,103.372,1.09106,1.33582,1.19368,1.2555,0.46523,0.60294,0.42915,0.16929,0.30937,0.38235,0.19214,0.04193,1.76616,1.16549,1.93262,1.95758,0.0011288,0.0011288,0.0011288
24,110.235,1.05365,1.411,1.09976,1.25454,0.5209,0.63235,0.4698,0.1655,0.3614,0.47059,0.23592,0.05723,1.84014,1.17693,1.99675,2.03413,0.0010892,0.0010892,0.0010892
25,115.529,1.1149,1.28022,1.13404,1.28641,0.6123,0.60294,0.52698,0.22835,0.46697,0.48962,0.33046,0.06948,1.67896,1.18419,1.7699,1.95404,0.0010496,0.0010496,0.0010496
26,123.025,1.08161,1.33089,1.11547,1.25482,0.58073,0.54412,0.49413,0.21843,0.33041,0.5,0.2761,0.0759,1.69498,1.16193,1.79669,1.88968,0.00101,0.00101,0.00101
27,128.932,1.02373,1.28377,1.06009,1.23256,0.53815,0.55882,0.48298,0.22419,0.42049,0.51471,0.31783,0.07799,1.67098,1.08285,1.70574,1.83788,0.0009704,0.0009704,0.0009704
28,133.131,1.05082,1.27707,1.13508,1.251,0.64702,0.64706,0.5925,0.24265,0.43088,0.45588,0.33268,0.09136,1.70377,1.09599,1.59169,1.83553,0.0009308,0.0009308,0.0009308
29,137.176,1.01685,1.22542,1.08641,1.24463,0.63205,0.61765,0.55215,0.25069,0.50309,0.47059,0.36345,0.09513,1.56448,1.18031,1.63113,1.80708,0.0008912,0.0008912,0.0008912
30,140.968,1.02315,1.31592,1.07157,1.21492,0.61084,0.64633,0.55886,0.22947,0.43016,0.45515,0.31091,0.0849,1.68237,1.1137,1.63728,1.81968,0.0008516,0.0008516,0.0008516
31,144.946,1.01532,1.2218,1.03607,1.21613,0.72219,0.68815,0.64974,0.27806,0.55137,0.52941,0.43343,0.11832,1.6463,1.04519,1.67973,1.74197,0.000812,0.000812,0.000812
32,148.85,0.98308,1.29049,0.99966,1.19877,0.65757,0.50838,0.5732,0.24265,0.53292,0.44118,0.42249,0.10891,1.60758,1.02204,1.79214,1.7476,0.0007724,0.0007724,0.0007724
33,152.825,0.9198,1.15117,0.97224,1.16919,0.54375,0.58824,0.52915,0.2369,0.46641,0.47059,0.35975,0.11579,1.5872,0.98352,1.75501,1.81532,0.0007328,0.0007328,0.0007328
34,156.742,0.94577,1.22016,1.00884,1.19947,0.58507,0.63235,0.51941,0.23014,0.45492,0.47059,0.33217,0.09928,1.67196,0.99382,1.73155,1.93158,0.0006932,0.0006932,0.0006932
35,160.726,0.97046,1.26156,1.00027,1.20852,0.59317,0.60041,0.49578,0.24971,0.51217,0.5,0.35816,0.10565,1.59065,1.09203,1.60905,1.85373,0.0006536,0.0006536,0.0006536
36,164.86,0.96999,1.22185,1.00472,1.19863,0.49813,0.60294,0.46231,0.23813,0.37411,0.51471,0.27605,0.08447,1.54824,1.01152,1.64826,1.82687,0.000614,0.000614,0.000614
37,169.095,0.93361,1.29561,0.97384,1.18376,0.60906,0.58824,0.52156,0.23329,0.47936,0.57353,0.35282,0.10165,1.58785,0.98766,1.64132,1.86445,0.0005744,0.0005744,0.0005744
38,172.996,0.93098,1.24207,0.98213,1.17886,0.51784,0.57353,0.48112,0.20635,0.45203,0.5,0.36023,0.09742,1.6624,0.99741,1.67078,1.90444,0.0005348,0.0005348,0.0005348
39,176.981,0.89963,1.21249,0.92199,1.15101,0.70543,0.66176,0.63952,0.26469,0.54189,0.53931,0.40227,0.11244,1.59491,1.02095,1.65948,1.84006,0.0004952,0.0004952,0.0004952
40,180.943,0.88007,1.17651,0.90384,1.16918,0.65144,0.68714,0.58924,0.2662,0.50085,0.52941,0.34581,0.10412,1.55556,1.03901,1.65211,1.81308,0.0004556,0.0004556,0.0004556
41,204.652,0.99497,0.85657,1.20732,1.40991,0.69461,0.69118,0.6098,0.28352,0.54507,0.54412,0.39097,0.1164,1.56805,0.97764,1.55257,1.78317,0.000416,0.000416,0.000416
42,208.661,0.98766,0.83291,1.09605,1.41684,0.6942,0.55882,0.54392,0.26952,0.64373,0.5,0.47871,0.12321,1.62279,0.97225,1.62755,1.89999,0.0003764,0.0003764,0.0003764
